id,contract_signed_date,start_date,amount_monthly,term_length_months,payment_interval_months,renews_automatically,customer_id
1,2022-01-05,2022-01-10,5000,12,3,TRUE,1
2,2022-01-26,2022-02-01,8200,6,1,TRUE,2
3,2022-03-15,2022-03-15,3600,5,1,FALSE,3
4,2022-01-01,2022-01-06,10000,24,6,TRUE,4
5,2022-03-08,2022-03-10,7500,3,1,FALSE,5
6,2022-04-24,2022-04-27,8000,6,1,TRUE,5
7,2022-02-24,2022-03-01,6000,12,3,TRUE,6
8,2022-01-19,2022-01-20,15000,6,2,TRUE,7
9,2022-01-21,2022-01-25,9200,24,1,TRUE,8
10,2022-01-23,2022-01-26,10000,12,3,TRUE,9
11,2022-05-06,2022-05-08,14000,12,3,TRUE,10
12,2022-01-16,2022-01-18,15000,1,1,TRUE,11
13,2022-09-20,2022-09-23,4000,6,3,FALSE,3
14,2023-04-03,2023-04-03,6000,6,3,FALSE,3
15,2022-01-04,2022-01-05,11430,2,1,FALSE,13
16,2022-04-01,2022-04-01,32000,12,3,TRUE,16
17,2022-08-20,2022-08-24,11500,6,1,FALSE,17
18,2022-07-30,2022-08-01,14700,12,3,TRUE,18
19,2022-02-05,2022-02-06,23000,3,1,FALSE,19
20,2022-02-28,2022-02-28,35000,6,1,FALSE,20
21,2022-03-12,2022-03-12,22000,3,3,TRUE,22